genus,value
Pelodictyon,74
Pelotomaculum,193
Penaeus,1
Penicillium,10
Peptoniphilus,167
Peptostreptococcus,186
Perkinsus,6
Persephonella,18
Petrotoga,121
Phaeobacter,74
Phaeodactylum,37
Phaeosphaeria,14
Phalaenopsis,3
Phascolarctobacterium,135
Phenylobacterium,76
Phi29-like viruses,290
PhiC31-like viruses,32
Phieco32-like viruses,140
Phipapillomavirus,1
Photinia,1
Photobacterium,517
Photorhabdus,617
Phycomyces,1
Physcomitrella,30
Phytophthora,20
Picea,14
Picrophilus,3
Pinctada,5
Pinus,14
Pirellula,61
Pisum,4
Planctomyces,111
Planococcus,13
Plasmodium,161
Platanus,1
Plesiocystis,65
Pleurotus,1
Podospora,2
Polaribacter,118
Polaromonas,1433
Polychytrium,1
Polynucleobacter,82
Polyomavirus,25
Polyplastron,2
Polysphondylium,15
Pongo,14
Populus,379
Porphyra,2
Porphyromonas,450
Postia,2
Prasinovirus,5
Prevotella,9744
Prionoxystus,1
Pristionchus,1
Prochlorococcus,92
Propionibacterium,1054
Propionigenium,1
Prosthecobacter,3
Prosthecochloris,30
Proteus,381
Providencia,498
Prunus,3
Pseudacidovorax,1
Pseudoalteromonas,228
Pseudobutyrivibrio,1
Pseudoflavonifractor,954
Pseudomonas,6935
Pseudonocardia,1
Pseudoramibacter,128
Pseudovibrio,22
Pseudoxanthomonas,195
Psychrobacter,745
Psychroflexus,100
Psychromonas,123
Puccinia,7
Pycnococcus,1
Pyramidobacter,162
Pyrenophora,8
Pyrobaculum,8
Pyrococcus,28
Pyropia,1
Rahnella,84
Ralstonia,1903
Ranavirus,12
Ranitomeya,1
Raoultella,2
Raphanus,1
Raphidiopsis,20
Rattus,65
Reinekea,53
Renibacterium,41
Rhadinovirus,2
Rhizobium,641
Rhizophlyctis,1
Rhodobacter,2143
Rhodococcus,614
Rhodomicrobium,99
Rhodomonas,1
Rhodopirellula,92
Rhodopseudomonas,591
Rhodospirillum,375
Rhodothermus,61
Rhodovulum,2
Rhopapillomavirus,1
Ricinus,141
Rickettsia,93
Rickettsiella,15
Riemerella,996
Robiginitalea,79
Rosa,1
Roseburia,1761
Roseibium,109
Roseiflexus,146
Roseobacter,433
Roseomonas,122
Roseovarius,197
Rothia,50
Rubritalea,1
Rubrivivax,1
Rubrobacter,57
Ruegeria,695
Ruminobacter,3
Ruminococcus,7844
SP6-like viruses,91
SPO1-like viruses,140
SPbeta-like viruses,31
Saccharomonospora,20
Saccharomyces,20
Saccharophagus,64
Saccharopolyspora,52
Saccharothrix,1
Saccoglossus,4
Sagittula,88
Salinibacter,109
Salinispora,154
Salmo,1
Salmonella,3866
Sanguibacter,24
Sarcocaulon,1
Scardovia,19
