phylum,class,order,family,genus
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Dermabacter
 Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Dermatophilus
 Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia
 Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia
 Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus
 Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus
 Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia
 Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Arsenicicoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Knoellia
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Knoellia
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Kytococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Serinicoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus
