phylum,class,order,family,genus,value
Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,27
Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,53
Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,150
Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,2
Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,28
Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Ferroplasma,14
Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Thermoplasma,15
Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,233
Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,114
Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,37
Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,178
Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4041
Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,583
Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,82
Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,2
Firmicutes,Bacilli,Bacillales,Exiguobacteraceae,Exiguobacterium,158
Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,260
Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,1265
Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria,3
Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,146
Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,13
Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,1
Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,69
Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,958
Firmicutes,Bacilli,Gemellales,Gemellaceae,Gemella,30
Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,115
Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,30
Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,38
Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,54
Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,1716
Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,3
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,2724
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,182
Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,1
Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,227
Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,29
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,2791
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,10405
Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,1216
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,523
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,23388
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Thermoanaerobacterium,153
Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,8
Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,115
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,377
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,5340
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,682
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Catonella,31
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,744
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,651
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,56
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,338
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,1
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,1761
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,7844
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,80
Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,1068
Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,193
Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,39
Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,186
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,787
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,652
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,10017
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,7844
Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,111
Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,73
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Anaerococcus,393
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Finegoldia,164
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Peptoniphilus,167
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Sporanaerobacter,1
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus,337
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,837
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megamonas,8
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,359
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Mitsuokella,1331
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Pectinatus,1
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,135
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,931
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Sporomusa,1
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Thermosinus,237
